id,status,vehicle_id,proposer_id,dealer_id,customer_id,category,signature_url,insurer_form_url,mileage_coverage,duration,start_at,end_at,warranty_start_override,price,max_claim,premium,remarks,cancel_remarks
584,submitted_to_insurer,646,634,26,582,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595464420-rfq_1595464407_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595464407_on_1595582593.pdf,130000,5,7/23/2020,7/22/2025,FALSE,600,10000,,,
585,dealer_submission,647,635,26,583,new_warranty,,,130000,5,7/23/2020,7/22/2025,FALSE,1100,10000,,,
587,submitted_to_insurer,647,637,26,583,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595467694-rfq_1595467685_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595467685_on_1595585412.pdf,130000,5,7/23/2020,7/22/2025,FALSE,1100,10000,,,
586,submitted_to_insurer,648,636,26,584,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595467477-rfq_1595467469_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595467469_on_1595585367.pdf,130000,5,7/23/2020,7/22/2025,FALSE,1400,10000,,,
588,submitted_to_insurer,649,638,26,585,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595486950-rfq_1595486933_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595486933_on_1595585786.pdf,130000,5,7/23/2020,7/22/2025,FALSE,1100,10000,,,
589,submitted_to_insurer,650,639,26,586,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595551024-rfq_1595550991_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595550991_on_1595585342.pdf,130000,5,7/24/2020,7/23/2025,FALSE,4300,25000,,,
590,submitted_to_insurer,651,640,26,587,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595551550-rfq_1595551542_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595551542_on_1595585891.pdf,130000,5,7/24/2020,7/23/2025,FALSE,1400,10000,,,
591,submitted_to_insurer,664,653,26,588,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595553193-rfq_1595553183_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595553183_on_1595585925.pdf,130000,5,7/24/2020,7/23/2025,FALSE,1400,10000,,,
592,submitted_to_insurer,665,654,26,589,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595554366-rfq_1595554356_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595554356_on_1595587523.pdf,130000,5,7/24/2020,7/23/2025,FALSE,1400,10000,,,
594,submitted_to_insurer,667,656,26,591,new_warranty,https://carfren-production-signature.s3.ap-southeast-1.amazonaws.com/1595556792-rfq_1595556784_signature_txt,https://s3.ap-southeast-1.amazonaws.com/carfren-production-docs.carfren.sg/order/order_RFQ-1595556784_on_1595593109.pdf,130000,5,7/24/2020,7/23/2025,FALSE,1100,10000,,,
